Task,Month,Milestone
1.1,M2,Prioritized inventory of candidate data assets delivered across three source tiers (expert-curated / literature / MCP-crawled) with AI-assisted screening and source-confidence scoring operational.
1.2,M3,Air-domain multimodal repository complete linking structured ORR meteorological data with document-derived context; harmonization schema applied; soil/water candidate datasets screened for readiness.
1.3,M4,Lightweight data quality layer deployed with completeness / provenance / temporal / unit / schema checks; machine-readable metadata catalog published with AI-readiness indicators across air / soil / water assets.
2.1,M5,Air-domain EDA / predictive modeling / early-warning workflows validated against harmonized repository with traceable outputs supporting adaptive near-real-time monitoring.
2.2,M6,Cross-domain analytics validation complete: air-domain workflow applied to representative water or soil datasets; reusable components / domain-specific adjustments identified; validation summary with model results and Phase II scale-up recommendations delivered.
Go/NoGo,M6,(A) Cross-domain schema alignment and predictive accuracy threshold met on historical holdout (pre-1999 EM data); (B) end-to-end HIL supervisor / knowledge-integration / conflict-resolution pipeline with provenance-linked outputs and completed escalation cycle.
3.1,M6,Bidirectional HIL system operational: scenario knowledge graph / hybrid sparse-dense retrieval with provenance / drift detection / Sheridan-Verplank autonomy adjustment / risk-informed multi-agent orchestration with conflict resolution validated; knowledge management system supporting EM site accessibility and operating & administrative procedures.
3.2,M7,Interactive interface operational: confidence-mapped geospatial overlays / aleatory-epistemic uncertainty visualizations / $540B liability forecast views / sketch-to-dashboard pipeline / what-if interface for waste treatment and remediation optimization / W3C PROV annotation / decision-support API for autonomous controls and robotics.
3.3,M8,Feedback-driven optimization active: supervised fine-tuning on corrected output pairs / DPO from pairwise rankings / RLHF end-to-end orchestration policy optimization; sandbox-validated updates with version-controlled checkpoints; mRAG retrieval continuously improved via implicit signals and correction annotations.
Go/NoGo,M9,Final delivery: containerized deployable system with harmonized data catalog / quality benchmarks / Docker image / Go/NoGo evaluation report / Phase II scale-up roadmap for water- and soil-domain expansion and cross-site deployment.
